N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익,PER
251.0,KODEX 코스닥150레버리지,8340.0,565.0,-6.34%,0.0,,,,
252.0,KCC글라스,51600.0,2250.0,+4.56%,1000.0,11757.0,18779.0,1605.0,7.32
253.0,현대건설기계,41550.0,900.0,-2.12%,5000.0,32843.0,35543.0,1607.0,10.75
254.0,풍산,29100.0,250.0,-0.85%,5000.0,35095.0,31483.0,3141.0,3.57
255.0,HDC현대산업개발,12350.0,200.0,-1.59%,5000.0,33639.0,65664.0,2734.0,-374.24
256.0,세아제강지주,195500.0,500.0,+0.26%,5000.0,28417.0,28990.0,2990.0,3.53
257.0,대상,22750.0,250.0,-1.09%,1000.0,34700.0,28705.0,1532.0,6.25
258.0,LG전자우,45850.0,1700.0,-3.58%,5000.0,,,,4.5
259.0,화승엔터프라이즈,12900.0,300.0,-2.27%,500.0,11386.0,13303.0,71.0,-165.38
260.0,대신증권,15350.0,250.0,-1.60%,5000.0,36353.0,227632.0,8855.0,4.56
261.0,대한유화,119000.0,7000.0,-5.56%,5000.0,25149.0,24789.0,1794.0,-136.94
262.0,코스모화학,22050.0,700.0,-3.08%,1000.0,5126.0,6813.0,305.0,42.57
263.0,우리종금,869.0,15.0,-1.70%,500.0,3033.0,51597.0,1040.0,9.15
264.0,지누스,43900.0,1700.0,-3.73%,500.0,11238.0,10186.0,743.0,14.82
265.0,율촌화학,30300.0,500.0,+1.68%,500.0,5387.0,6667.0,110.0,221.17
266.0,현대그린푸드,7690.0,100.0,-1.28%,500.0,34861.0,31100.0,586.0,16.19
267.0,LG생활건강우,357500.0,1000.0,+0.28%,5000.0,,,,10.62
268.0,신한 레버리지 WTI원유 선물 ETN(H),1495.0,15.0,+1.01%,0.0,,,,
269.0,콘텐트리중앙,38650.0,2550.0,-6.19%,5000.0,6771.0,22456.0,-574.0,-20.82
270.0,현대에너지솔루션,65900.0,1000.0,+1.54%,5000.0,5932.0,6056.0,95.0,57.45
271.0,제주항공,14650.0,1900.0,-11.48%,1000.0,2731.0,12668.0,-3172.0,-2.62
272.0,더블유게임즈,39550.0,800.0,-1.98%,500.0,6241.0,13819.0,1904.0,11.55
273.0,대한해운,2260.0,105.0,-4.44%,500.0,11538.0,38597.0,2039.0,2.51
274.0,파미셀,11950.0,500.0,-4.02%,500.0,509.0,958.0,76.0,56.9
275.0,쿠쿠홈시스,31650.0,250.0,-0.78%,100.0,8932.0,9694.0,1786.0,5.47
276.0,효성중공업,75900.0,2400.0,+3.27%,5000.0,30947.0,40227.0,1201.0,45.89
277.0,영원무역홀딩스,51600.0,400.0,-0.77%,500.0,32405.0,43256.0,5705.0,2.23
278.0,프레스티지바이오파마,11700.0,500.0,+4.46%,0.0,,6053.0,-175.0,-6.51
279.0,세방전지,50100.0,1800.0,-3.47%,500.0,13520.0,16844.0,997.0,12.39
280.0,세아베스틸지주,19500.0,1450.0,+8.03%,5000.0,36511.0,35260.0,2384.0,3.98
281.0,코스맥스,61600.0,1200.0,-1.91%,500.0,15915.0,14119.0,1226.0,13.16
282.0,보령,10150.0,300.0,-2.87%,500.0,6273.0,8286.0,414.0,13.22
283.0,TIGER 200 IT,27680.0,815.0,-2.86%,0.0,,,,
284.0,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),11440.0,190.0,-1.63%,0.0,,,,
285.0,SNT모티브,47300.0,850.0,+1.83%,5000.0,9417.0,11498.0,916.0,7.91
286.0,KODEX 자동차,18060.0,495.0,-2.67%,0.0,,,,
