Date,Open,High,Low,Close,Adj Close,Volume,Change
2012-10-10,23250,23300,23000,23000,20533.78906,2998028,-2.34
2012-10-11,22800,23100,22600,22900,20444.51367,2935850,-0.43
2012-10-12,22900,23000,22250,22550,20132.03906,4249553,-1.53
2012-10-15,22550,22700,22100,22250,19864.20703,2997105,-1.33
2012-10-16,22700,23050,22700,22850,20399.86914,3891112,2.7
2012-10-17,23400,23600,23200,23500,20980.17383,4588292,2.84
2012-10-18,23500,23650,23200,23550,21024.81445,2665569,0.21
2012-10-19,23550,23750,23250,23300,20801.61914,2635595,-1.06
2012-10-22,22700,23450,22650,23400,20890.90039,2558547,0.43
2012-10-23,23400,23700,23050,23050,20578.42969,2830894,-1.5
2012-10-24,23500,24150,23350,24000,21426.56055,8680577,4.12
2012-10-25,24150,24800,24050,24300,21694.39453,7755017,1.25
2012-10-26,24300,24650,24000,24100,21515.8418,3811636,-0.82
2012-10-29,24550,24950,23900,24100,21515.8418,6179920,0
2012-10-30,24500,24750,24200,24300,21694.39453,3753581,0.83
2012-10-31,24800,25000,24650,24850,22185.42188,5720254,2.26
2012-11-01,24950,25900,24700,25500,22765.72266,8300704,2.62
2012-11-02,26000,26300,25900,25950,23167.4668,6582814,1.76
2012-11-05,25950,26350,25750,26150,23346.02539,3327731,0.77
2012-11-06,26250,26300,25550,25900,23122.83203,5012757,-0.96
2012-11-07,26000,26100,25450,26000,23212.10938,4384909,0.39
2012-11-08,25600,26100,25350,26050,23256.74805,4512124,0.19
2012-11-09,25700,25950,25350,25400,22676.44141,5200310,-2.5
2012-11-12,25200,25550,24800,25300,22587.16602,4363247,-0.39
2012-11-13,25200,25550,25000,25350,22631.80859,3295510,0.2
2012-11-14,25550,26700,25500,26600,23747.77344,8662866,4.93
2012-11-15,26350,26550,25900,26150,23346.02539,4732537,-1.69
2012-11-16,26100,26300,24550,24950,22274.69727,9258104,-4.59
2012-11-19,25200,25500,24750,25200,22497.89063,3915383,1
2012-11-20,25650,25750,25300,25350,22631.80859,3275516,0.6
2012-11-21,25500,25750,24900,24900,22230.05664,3690781,-1.78
2012-11-22,25250,25700,25000,25600,22854.99609,3172574,2.81
2012-11-23,25500,25850,25350,25700,22944.27734,2752916,0.39
2012-11-26,25800,26300,25750,25800,23033.55078,3740527,0.39
2012-11-27,25750,26000,25350,25550,22810.36328,4325846,-0.97
2012-11-28,25400,25550,25000,25350,22631.80859,3100750,-0.78
2012-11-29,25700,25800,25100,25400,22676.44141,4004471,0.2
2012-11-30,25250,25350,24400,24400,21783.66992,8393311,-3.94
2012-12-03,24300,24650,24200,24400,21783.66992,4141297,0
2012-12-04,24300,24700,24200,24450,21828.31055,3535356,0.2
2012-12-05,24450,24900,24250,24850,22185.42188,3475543,1.64
2012-12-06,24850,25100,24700,24850,22185.42188,3761134,0
2012-12-07,25450,25950,25400,25900,23122.83203,7085027,4.23
2012-12-10,25850,26150,25800,26000,23212.10938,3265816,0.39
2012-12-11,26250,26500,25900,25950,23167.4668,4168287,-0.19
2012-12-12,26350,26500,26050,26050,23256.74805,4893765,0.39
2012-12-13,26200,26500,25650,26250,23435.30078,7569924,0.77
2012-12-14,26000,26350,25850,26200,23390.66406,3660149,-0.19
2012-12-17,26400,26800,26250,26650,23792.41016,5207324,1.72
2012-12-18,26900,27100,26400,26500,23658.49609,5717910,-0.56
2012-12-20,26850,26950,26150,26300,23479.93945,4724805,-0.75
2012-12-21,26300,26450,25250,25400,22676.44141,7082943,-3.42
2012-12-24,25400,25700,25050,25150,22453.25195,3873355,-0.98
2012-12-26,25300,25700,25300,25450,22721.08008,3151414,1.19
2012-12-27,25450,25800,25400,25750,22988.91406,1998334,1.18
2012-12-28,25750,25950,25500,25750,22988.91406,2617472,0
2013-01-02,26150,26650,26100,26600,23747.77344,5136546,3.3
2013-01-03,26900,27100,26400,26650,23792.41016,4581101,0.19
2013-01-04,26800,26900,26200,26350,23524.57813,4845576,-1.13
2013-01-07,26400,26450,25650,25900,23122.83203,4272129,-1.71
2013-01-08,26050,26550,25950,26250,23435.30078,3456671,1.35
2013-01-09,26500,26600,25950,26050,23256.74805,2511527,-0.76
2013-01-10,26150,26800,25850,26800,23926.32813,4727145,2.88
2013-01-11,27100,27250,26500,27100,24194.1582,6252882,1.12
2013-01-14,27250,27300,26850,26950,24060.24414,3109698,-0.55
2013-01-15,26800,27000,25800,25950,23167.4668,6718923,-3.71
